City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
285,Arraial Do Cabo,BR,-22.97,-42.03,70.45,81,97,22.7,overcast clouds,0.0,0
286,Huaicheng,CN,23.91,112.19,83.98,81,96,3.02,light rain,0.12,0
287,Gold Coast,AU,-28.0,153.43,72.0,64,75,8.05,broken clouds,0.0,0
288,Touros,BR,-5.2,-35.46,71.6,100,75,4.7,broken clouds,0.0,0
289,Esna,EG,25.29,32.55,85.39,24,0,12.08,clear sky,0.0,0
290,Abong Mbang,CM,3.98,13.18,66.43,99,98,2.91,overcast clouds,0.0,0
291,Port Macquarie,AU,-31.43,152.92,59.0,96,100,4.83,overcast clouds,0.0,0
292,Zaysan,KZ,47.47,84.87,63.52,62,100,2.57,overcast clouds,0.0,0
293,Abu Samrah,SY,35.3,37.18,72.41,68,0,10.89,clear sky,0.0,0
294,Kaura Namoda,NG,12.59,6.58,79.57,70,91,11.59,overcast clouds,0.0,0
295,Yerbogachen,RU,61.28,108.01,63.37,67,0,6.49,clear sky,0.0,0
296,San Quintin,MX,30.48,-115.95,77.27,54,0,12.82,clear sky,0.0,0
297,Teshie,GH,5.58,-0.11,77.0,88,20,10.29,few clouds,0.0,0
298,Birao,CF,10.28,22.79,72.16,86,94,4.97,overcast clouds,0.0,0
299,Naze,JP,28.37,129.48,86.0,89,75,9.17,broken clouds,0.0,0
300,Menongue,AO,-14.66,17.69,51.69,42,0,5.7,clear sky,0.0,0
301,Kaupanger,NO,61.18,7.24,44.35,74,100,2.73,overcast clouds,0.0,0
302,Mushie,CD,-3.02,16.9,74.08,81,4,2.77,clear sky,0.0,0
303,Cavaillon,FR,43.83,5.04,71.6,37,0,18.34,clear sky,0.0,0
304,Coahuayana,MX,18.73,-103.68,84.2,74,75,2.8,broken clouds,0.0,0
305,Tazovskiy,RU,67.47,78.7,51.42,76,1,8.41,clear sky,0.0,0
306,Bongandanga,CD,1.5,21.05,71.24,97,100,3.06,moderate rain,1.61,0
307,Puerto Leguizamo,CO,-0.19,-74.78,72.28,87,0,2.01,clear sky,0.0,0
308,San Cristobal,VE,7.77,-72.22,66.16,91,97,1.74,overcast clouds,0.0,0
309,Novopokrovka,UA,49.84,36.55,62.6,77,0,4.47,clear sky,0.0,0
